interview__key	interview__id	roster	id1	variable	order	date	time	originator	role	comment
96-37-98-93	b0a252bb4a2245e9a22c8796784fa244			@@Completed	2	2020-01-26	14:13:26	dhabarde	1	"child death    3month after birth   "
96-37-98-93	b0a252bb4a2245e9a22c8796784fa244			@@Completed	3	2020-01-26	14:20:13	dhabarde	1	"child death    3month after birth   "
63-00-81-60	e50553cc86344b719369b2ca8063cc4c			@@Completed	2	2020-01-26	16:09:25	dhabarde	1	"one child  death  after  birth  "
49-73-84-72	ab03bd32590844f3a516d973bfa03cb7	hhroster	0	marital_status	1	2020-01-29	09:29:48	SBS02	2	wife????
77-09-27-36	fa438df418c84a04945766c30e8e2e46			@@ApprovedBySupervisor	1	2020-01-30	03:40:04	VYS04	2	please check spelling
62-51-75-37	cd4bdcba7e294007b507d531df02b70b	hhroster	3	relat	1	2020-01-30	04:40:41	SBS02	2	clear kara
50-02-90-20	9a6715934ffe4374996ca791098979aa	hhroster	3	fmem_p	1	2020-01-30	05:07:36	AKS03	2	Manishaचे  गरोदारपणा 28 आठवड्यांपेक्षा जास्त झाले होते जिवंत बाळ kuthe
50-02-90-20	9a6715934ffe4374996ca791098979aa			@@RejectedBySupervisor	2	2020-01-30	05:07:56	AKS03	2	Manishaचे गरोदारपणा 28 आठवड्यांपेक्षा जास्त झाले होते जिवंत बाळ kuthe
97-67-28-75	9c662697dd8446709a2985d6f0a975eb	hhroster	3	relat	1	2020-01-30	09:03:42	SBS02	2	realtion wrong
51-31-06-27	e3f2500d4d904a1fac5f2f1f8e9e8d32	hhroster	3	fmem_mname	1	2020-01-30	09:37:02	SBS02	2	wrong
55-21-22-98	de984e835d6e43dab08d1181c4d1b24d	hhroster	1	fmem_l	1	2020-01-30	09:48:55	PBS01	2	What about her child
23-54-13-65	381c957ec3e843159609c4b589bdbdfe			@@Completed	1	2020-01-25	07:57:34	sunillohe	1	Two wife
84-87-52-49	f9a65503843540a1a9c8cac55bdd60e9			@@RejectedBySupervisor	1	2020-01-28	05:24:43	AKS03	2	GPS
44-00-18-03	492a7566468e4a4d925912fb0f66ca3d			@@RejectedBySupervisor	1	2020-01-28	05:25:20	AKS03	2	GPS
29-46-59-44	ee928d982b5046749eddbc367a8c1129			@@RejectedBySupervisor	1	2020-01-28	05:25:56	AKS03	2	GPS
57-84-53-54	3d981370e8d74e4480df308c63449899			wi_internet	1	2020-01-29	04:28:38	AKS03	2	इंटरनेट nahi
57-84-53-54	3d981370e8d74e4480df308c63449899			@@RejectedBySupervisor	2	2020-01-29	04:28:54	AKS03	2	इंटरनेट nahi
01-26-29-18	c5133dc8a49d4bd3b9b4820163be74cf	hhroster	2	lmp	1	2020-01-29	04:35:35	AKS03	2	Vaishaliची शेवटची मासिक पाळी कधी आली होती barobar aahekadate
01-26-29-18	c5133dc8a49d4bd3b9b4820163be74cf			@@RejectedBySupervisor	2	2020-01-29	04:36:28	AKS03	2	" Vaishaliची शेवटची मासिक पाळी कधी आली होती barobar aahe ka date"
69-02-20-10	19e86676e65943208a51a607c3d31562	hhroster	4	fmem_mname	1	2020-01-30	09:34:52	PBS01	2	enter correct option
05-89-30-94	40a4cb0e18684fab8b0541cfb561139d	hhroster	2	occupation	1	2020-01-30	10:18:51	AKS03	2	occupation
87-68-03-62	1b503b8fda034fcb864ea27fd1dfa7e7	hhroster	4	relat	1	2020-01-30	10:19:07	SBS02	2	wrong
05-89-30-94	40a4cb0e18684fab8b0541cfb561139d			@@RejectedBySupervisor	2	2020-01-30	10:19:30	AKS03	2	shubham occupation correct remark
23-54-13-65	381c957ec3e843159609c4b589bdbdfe			@@RejectedBySupervisor	2	2020-01-30	10:33:31	AKS03	2	sindu 3 child and rewatabai  3 child ahe tar 3 child name kute ahe please remark
98-57-20-97	2dff40e85a6c4740ae39eb554da606d0	hhroster	2	fmem_mname	1	2020-01-30	10:34:22	SBS02	2	wrong
22-97-99-75	20f1e9e62ed74954af158b5c48c20b7b	hhroster	1	fmem_g	1	2020-01-30	16:41:59	CS07	1	3
05-89-30-94	40a4cb0e18684fab8b0541cfb561139d			@@Completed	3	2020-01-30	18:31:42	sunillohe	1	"Not doing anything. "
05-89-30-94	40a4cb0e18684fab8b0541cfb561139d			@@Completed	4	2020-01-30	18:32:18	sunillohe	1	"Not doing anything. "
69-02-20-10	19e86676e65943208a51a607c3d31562			@@Completed	2	2020-01-30	18:39:41	dhabarde	1	vithal
69-02-20-10	19e86676e65943208a51a607c3d31562			@@Completed	3	2020-01-30	18:41:54	dhabarde	1	vithal
14-03-68-12	f80dd5cbfc1b43b4a3ff87b8b820d17d			@@Completed	1	2020-01-24	08:14:17	sunillohe	1	3mulincha Death.
14-03-68-12	f80dd5cbfc1b43b4a3ff87b8b820d17d			@@Completed	2	2020-01-25	06:32:41	sunillohe	1	3mulincha Death.
74-50-44-24	942e1d34d324429fa1b7e16f20a1a9e1			@@Completed	1	2020-01-25	07:36:31	sunillohe	1	1muliche married
74-50-44-24	942e1d34d324429fa1b7e16f20a1a9e1			@@Completed	2	2020-01-25	07:37:20	sunillohe	1	1muliche married
14-03-68-12	f80dd5cbfc1b43b4a3ff87b8b820d17d			@@Completed	3	2020-01-25	07:44:58	sunillohe	1	3mulincha Death.
74-50-44-24	942e1d34d324429fa1b7e16f20a1a9e1	hhroster	1	fmem_p	3	2020-01-30	04:55:29	AKS03	2	28 days 4 time pregnancy ahe tar aboration kase ahe
74-50-44-24	942e1d34d324429fa1b7e16f20a1a9e1			@@RejectedBySupervisor	4	2020-01-30	04:56:30	AKS03	2	28 days 4 time pregnancy ahe tar aboration kase ahe
14-03-68-12	f80dd5cbfc1b43b4a3ff87b8b820d17d	hhroster	1	fmem_l	4	2020-01-30	10:09:02	AKS03	2	3 child death tar live birth 4 kase ka please remark
14-03-68-12	f80dd5cbfc1b43b4a3ff87b8b820d17d			@@RejectedBySupervisor	5	2020-01-30	10:09:22	AKS03	2	3 child death tar live birth 4 kase ka please remark
66-53-77-95	fefbe1d099d04e3f8708cb1dd8f8fa69			@@Completed	1	2020-01-30	17:25:52	sunillohe	1	One baby Death.
78-78-26-91	b58305ad88b740d6b953dd4467460486			@@Completed	1	2020-01-30	17:36:42	sunillohe	1	One baby death
66-53-77-95	fefbe1d099d04e3f8708cb1dd8f8fa69			@@Completed	2	2020-01-30	18:12:08	sunillohe	1	One baby Death.
78-78-26-91	b58305ad88b740d6b953dd4467460486			@@Completed	2	2020-01-30	18:18:51	sunillohe	1	One baby death
74-50-44-24	942e1d34d324429fa1b7e16f20a1a9e1			@@Completed	5	2020-01-30	18:37:27	sunillohe	1	1muliche married
74-50-44-24	942e1d34d324429fa1b7e16f20a1a9e1			@@Completed	6	2020-01-30	18:39:05	sunillohe	1	1muliche married
14-03-68-12	f80dd5cbfc1b43b4a3ff87b8b820d17d			@@Completed	6	2020-01-30	18:43:34	sunillohe	1	3mulincha Death.One baby live and one abortion
